,Average
1962-05-21,5.1260162601626
1962-05-28,5.1260162601626
1962-06-04,5.1544
1962-06-11,5.1544
1962-06-18,5.1544
1962-06-25,5.1544
1962-07-02,5.26377952755905
1962-07-09,5.26377952755905
1962-07-16,5.26377952755905
1962-07-23,5.26377952755905
1962-07-30,5.26377952755905
1962-08-06,5.27142857142857
1962-08-13,5.27142857142857
1962-08-20,5.27142857142857
1962-08-27,5.27142857142857
1962-09-03,5.2232
1962-09-10,5.2232
1962-09-17,5.2232
1962-09-24,5.2232
1962-10-01,5.0888
1962-10-08,5.0888
1962-10-15,5.0888
1962-10-22,5.0888
1962-10-29,5.0888
1962-11-05,5.34806201550388
1962-11-12,5.34806201550388
1962-11-19,5.34806201550388
1962-11-26,5.34806201550388
1962-12-03,5.3078125
1962-12-10,5.3078125
1962-12-17,5.3078125
1962-12-24,5.3078125
1962-12-31,5.3078125
1963-01-07,5.32769230769231
1963-01-14,5.32769230769231
1963-01-21,5.32769230769231
1963-01-28,5.32769230769231
1963-02-04,5.37480916030534
1963-02-11,5.37480916030534
1963-02-18,5.37480916030534
1963-02-25,5.37480916030534
1963-03-04,5.32769230769231
1963-03-11,5.32769230769231
1963-03-18,5.32769230769231
1963-03-25,5.32769230769231
1963-04-01,5.27142857142857
1963-04-08,5.27142857142857
1963-04-15,5.27142857142857
1963-04-22,5.27142857142857
1963-04-29,5.27142857142857
1963-05-06,5.34806201550388
1963-05-13,5.34806201550388
1963-05-20,5.34806201550388
1963-05-27,5.34806201550388
1963-06-03,5.14918032786885
1963-06-10,5.14918032786885
1963-06-17,5.14918032786885
1963-06-24,5.14918032786885
1963-07-01,5.10165289256198
1963-07-08,5.10165289256198
1963-07-15,5.10165289256198
1963-07-22,5.10165289256198
1963-07-29,5.10165289256198
1963-08-05,4.93193277310924
1963-08-12,4.93193277310924
1963-08-19,4.93193277310924
1963-08-26,4.93193277310924
1963-09-02,4.96115702479339
1963-09-09,4.96115702479339
1963-09-16,4.96115702479339
1963-09-23,4.96115702479339
1963-09-30,4.96115702479339
1963-10-07,4.93529411764706
1963-10-14,4.93529411764706
1963-10-21,4.93529411764706
1963-10-28,4.93529411764706
1963-11-04,4.995
1963-11-11,4.995
1963-11-18,4.995
1963-11-25,4.995
1963-12-02,4.82542372881356
1963-12-09,4.82542372881356
1963-12-16,4.82542372881356
1963-12-23,4.82542372881356
1963-12-30,4.82542372881356
1964-01-06,4.85555555555556
1964-01-13,4.85555555555556
1964-01-20,4.85555555555556
1964-01-27,4.85555555555556
1964-02-03,4.72931034482759
1964-02-10,4.72931034482759
1964-02-17,4.72931034482759
1964-02-24,4.72931034482759
1964-03-02,4.70526315789474
1964-03-09,4.70526315789474
1964-03-16,4.70526315789474
1964-03-23,4.70526315789474
1964-03-30,4.70526315789474
1964-04-06,4.69649122807018
1964-04-13,4.69649122807018
1964-04-20,4.69649122807018
1964-04-27,4.69649122807018
1964-05-04,4.47962962962963
1964-05-11,4.47962962962963
1964-05-18,4.47962962962963
1964-05-25,4.47962962962963
1964-06-01,4.6
1964-06-08,4.6
1964-06-15,4.6
1964-06-22,4.6
1964-06-29,4.6
1964-07-06,4.35607476635514
1964-07-13,4.35607476635514
1964-07-20,4.35607476635514
1964-07-27,4.35607476635514
1964-08-03,4.40740740740741
1964-08-10,4.40740740740741
1964-08-17,4.40740740740741
1964-08-24,4.40740740740741
1964-08-31,4.40740740740741
1964-09-07,4.43644859813084
1964-09-14,4.43644859813084
1964-09-21,4.43644859813084
1964-09-28,4.43644859813084
1964-10-05,4.61531531531532
1964-10-12,4.61531531531532
1964-10-19,4.61531531531532
1964-10-26,4.61531531531532
1964-11-02,4.19019607843137
1964-11-09,4.19019607843137
1964-11-16,4.19019607843137
1964-11-23,4.19019607843137
1964-11-30,4.19019607843137
1964-12-07,4.21764705882353
1964-12-14,4.21764705882353
1964-12-21,4.21764705882353
1964-12-28,4.21764705882353
1965-01-04,4.20196078431373
1965-01-11,4.20196078431373
1965-01-18,4.20196078431373
1965-01-25,4.20196078431373
1965-02-01,4.25576923076923
1965-02-08,4.25576923076923
1965-02-15,4.25576923076923
1965-02-22,4.25576923076923
1965-03-01,4.05151515151515
1965-03-08,4.05151515151515
1965-03-15,4.05151515151515
1965-03-22,4.05151515151515
1965-03-29,4.05151515151515
1965-04-05,4.21538461538462
1965-04-12,4.21538461538462
1965-04-19,4.21538461538462
1965-04-26,4.21538461538462
1965-05-03,3.93877551020408
1965-05-10,3.93877551020408
1965-05-17,3.93877551020408
1965-05-24,3.93877551020408
1965-05-31,3.93877551020408
1965-06-07,3.966
1965-06-14,3.966
1965-06-21,3.966
1965-06-28,3.966
1965-07-05,3.77708333333333
1965-07-12,3.77708333333333
1965-07-19,3.77708333333333
1965-07-26,3.77708333333333
1965-08-02,3.74893617021277
1965-08-09,3.74893617021277
1965-08-16,3.74893617021277
1965-08-23,3.74893617021277
1965-08-30,3.74893617021277
1965-09-06,3.60217391304348
1965-09-13,3.60217391304348
1965-09-20,3.60217391304348
1965-09-27,3.60217391304348
1965-10-04,3.36511627906977
1965-10-11,3.36511627906977
1965-10-18,3.36511627906977
1965-10-25,3.36511627906977
1965-11-01,3.49555555555556
1965-11-08,3.49555555555556
1965-11-15,3.49555555555556
1965-11-22,3.49555555555556
1965-11-29,3.49555555555556
1965-12-06,3.40227272727273
1965-12-13,3.40227272727273
1965-12-20,3.40227272727273
1965-12-27,3.40227272727273
1966-01-03,3.35454545454545
1966-01-10,3.35454545454545
1966-01-17,3.35454545454545
1966-01-24,3.35454545454545
1966-01-31,3.35454545454545
1966-02-07,3.25764705882353
1966-02-14,3.25764705882353
1966-02-21,3.25764705882353
1966-02-28,3.25764705882353
1966-03-07,3.21058823529412
1966-03-14,3.21058823529412
1966-03-21,3.21058823529412
1966-03-28,3.21058823529412
1966-04-04,3.17710843373494
1966-04-11,3.17710843373494
1966-04-18,3.17710843373494
1966-04-25,3.17710843373494
1966-05-02,3.22470588235294
1966-05-09,3.22470588235294
1966-05-16,3.22470588235294
1966-05-23,3.22470588235294
1966-05-30,3.22470588235294
1966-06-06,3.0675
1966-06-13,3.0675
1966-06-20,3.0675
1966-06-27,3.0675
1966-07-04,3.18536585365854
1966-07-11,3.18536585365854
1966-07-18,3.18536585365854
1966-07-25,3.18536585365854
1966-08-01,3.3
1966-08-08,3.3
1966-08-15,3.3
1966-08-22,3.3
1966-08-29,3.3
1966-09-05,3.28850574712644
1966-09-12,3.28850574712644
1966-09-19,3.28850574712644
1966-09-26,3.28850574712644
1966-10-03,3.16506024096386
1966-10-10,3.16506024096386
1966-10-17,3.16506024096386
1966-10-24,3.16506024096386
1966-10-31,3.16506024096386
1966-11-07,3.20238095238095
1966-11-14,3.20238095238095
1966-11-21,3.20238095238095
1966-11-28,3.20238095238095
1966-12-05,3.26666666666667
1966-12-12,3.26666666666667
1966-12-19,3.26666666666667
1966-12-26,3.26666666666667
1967-01-02,3.40344827586207
1967-01-09,3.40344827586207
1967-01-16,3.40344827586207
1967-01-23,3.40344827586207
1967-01-30,3.40344827586207
1967-02-06,3.41162790697674
1967-02-13,3.41162790697674
1967-02-20,3.41162790697674
1967-02-27,3.41162790697674
1967-03-06,3.41739130434783
1967-03-13,3.41739130434783
1967-03-20,3.41739130434783
1967-03-27,3.41739130434783
1967-04-03,3.48222222222222
1967-04-10,3.48222222222222
1967-04-17,3.48222222222222
1967-04-24,3.48222222222222
1967-05-01,3.39885057471264
1967-05-08,3.39885057471264
1967-05-15,3.39885057471264
1967-05-22,3.39885057471264
1967-05-29,3.39885057471264
1967-06-05,3.39318181818182
1967-06-12,3.39318181818182
1967-06-19,3.39318181818182
1967-06-26,3.39318181818182
1967-07-03,3.39885057471264
1967-07-10,3.39885057471264
1967-07-17,3.39885057471264
1967-07-24,3.39885057471264
1967-07-31,3.39885057471264
1967-08-07,3.35348837209302
1967-08-14,3.35348837209302
1967-08-21,3.35348837209302
1967-08-28,3.35348837209302
1967-09-04,3.41162790697674
1967-09-11,3.41162790697674
1967-09-18,3.41162790697674
1967-09-25,3.41162790697674
1967-10-02,3.68279569892473
1967-10-09,3.68279569892473
1967-10-16,3.68279569892473
1967-10-23,3.68279569892473
1967-10-30,3.68279569892473
1967-11-06,3.57608695652174
1967-11-13,3.57608695652174
1967-11-20,3.57608695652174
1967-11-27,3.57608695652174
1967-12-04,3.73578947368421
1967-12-11,3.73578947368421
1967-12-18,3.73578947368421
1967-12-25,3.73578947368421
1968-01-01,3.64193548387097
1968-01-08,3.64193548387097
1968-01-15,3.64193548387097
1968-01-22,3.64193548387097
1968-01-29,3.64193548387097
1968-02-05,3.73578947368421
1968-02-12,3.73578947368421
1968-02-19,3.73578947368421
1968-02-26,3.73578947368421
1968-03-04,3.82
1968-03-11,3.82
1968-03-18,3.82
1968-03-25,3.82
1968-04-01,3.68913043478261
1968-04-08,3.68913043478261
1968-04-15,3.68913043478261
1968-04-22,3.68913043478261
1968-04-29,3.68913043478261
1968-05-06,3.63186813186813
1968-05-13,3.63186813186813
1968-05-20,3.63186813186813
1968-05-27,3.63186813186813
1968-06-03,3.89368421052632
1968-06-10,3.89368421052632
1968-06-17,3.89368421052632
1968-06-24,3.89368421052632
1968-07-01,3.86288659793815
1968-07-08,3.86288659793815
1968-07-15,3.86288659793815
1968-07-22,3.86288659793815
1968-07-29,3.86288659793815
1968-08-05,3.74731182795699
1968-08-12,3.74731182795699
1968-08-19,3.74731182795699
1968-08-26,3.74731182795699
1968-09-02,3.55227272727273
1968-09-09,3.55227272727273
1968-09-16,3.55227272727273
1968-09-23,3.55227272727273
1968-09-30,3.55227272727273
1968-10-07,3.61011235955056
1968-10-14,3.61011235955056
1968-10-21,3.61011235955056
1968-10-28,3.61011235955056
1968-11-04,3.68651685393258
1968-11-11,3.68651685393258
1968-11-18,3.68651685393258
1968-11-25,3.68651685393258
1968-12-02,3.66888888888889
1968-12-09,3.66888888888889
1968-12-16,3.66888888888889
1968-12-23,3.66888888888889
1968-12-30,3.66888888888889
1969-01-06,3.55227272727273
1969-01-13,3.55227272727273
1969-01-20,3.55227272727273
1969-01-27,3.55227272727273
1969-02-03,3.53820224719101
1969-02-10,3.53820224719101
1969-02-17,3.53820224719101
1969-02-24,3.53820224719101
1969-03-03,3.49540229885057
1969-03-10,3.49540229885057
1969-03-17,3.49540229885057
1969-03-24,3.49540229885057
1969-03-31,3.49540229885057
1969-04-07,3.55227272727273
1969-04-14,3.55227272727273
1969-04-21,3.55227272727273
1969-04-28,3.55227272727273
1969-05-05,3.59555555555556
1969-05-12,3.59555555555556
1969-05-19,3.59555555555556
1969-05-26,3.59555555555556
1969-06-02,3.61956521739131
1969-06-09,3.61956521739131
1969-06-16,3.61956521739131
1969-06-23,3.61956521739131
1969-06-30,3.61956521739131
1969-07-07,3.57555555555556
1969-07-14,3.57555555555556
1969-07-21,3.57555555555556
1969-07-28,3.57555555555556
1969-08-04,3.7043956043956
1969-08-11,3.7043956043956
1969-08-18,3.7043956043956
1969-08-25,3.7043956043956
1969-09-01,3.72391304347826
1969-09-08,3.72391304347826
