Date,Average
1960-04,5.55985401459854
1960-05,5.76714285714286
1960-06,5.59197080291971
1960-07,5.88014184397163
1960-08,6.19459459459459
1960-09,6.1
1960-10,6.41920529801325
1960-11,6.33841059602649
1960-12,6.5968152866242
1961-01,6.5968152866242
1961-02,6.77950310559006
1961-03,6.77594936708861
1961-04,6.795
1961-05,6.81604938271605
1961-06,6.62151898734177
1961-07,6.56624203821656
1961-08,6.2
1961-09,6.29733333333333
1961-10,6.00416666666667
1961-11,5.5963503649635
1961-12,5.51940298507463
1962-01,5.44503816793893
1962-02,5.41384615384615
1962-03,5.35271317829457
1962-04,5.28139534883721
1962-05,5.1260162601626
1962-06,5.1544
1962-07,5.26377952755905
1962-08,5.27142857142857
1962-09,5.2232
1962-10,5.0888
1962-11,5.34806201550388
1962-12,5.3078125
1963-01,5.32769230769231
1963-02,5.37480916030534
1963-03,5.32769230769231
1963-04,5.27142857142857
1963-05,5.34806201550388
1963-06,5.14918032786885
1963-07,5.10165289256198
1963-08,4.93193277310924
1963-09,4.96115702479339
1963-10,4.93529411764706
1963-11,4.995
1963-12,4.82542372881356
1964-01,4.85555555555556
1964-02,4.72931034482759
1964-03,4.70526315789474
1964-04,4.69649122807018
1964-05,4.47962962962963
1964-06,4.6
1964-07,4.35607476635514
1964-08,4.40740740740741
1964-09,4.43644859813084
1964-10,4.61531531531532
1964-11,4.19019607843137
1964-12,4.21764705882353
1965-01,4.20196078431373
1965-02,4.25576923076923
1965-03,4.05151515151515
1965-04,4.21538461538462
1965-05,3.93877551020408
1965-06,3.966
1965-07,3.77708333333333
1965-08,3.74893617021277
1965-09,3.60217391304348
1965-10,3.36511627906977
1965-11,3.49555555555556
1965-12,3.40227272727273
1966-01,3.35454545454545
1966-02,3.25764705882353
1966-03,3.21058823529412
1966-04,3.17710843373494
1966-05,3.22470588235294
1966-06,3.0675
1966-07,3.18536585365854
1966-08,3.3
1966-09,3.28850574712644
1966-10,3.16506024096386
1966-11,3.20238095238095
1966-12,3.26666666666667
1967-01,3.40344827586207
1967-02,3.41162790697674
1967-03,3.41739130434783
1967-04,3.48222222222222
1967-05,3.39885057471264
1967-06,3.39318181818182
1967-07,3.39885057471264
1967-08,3.35348837209302
1967-09,3.41162790697674
1967-10,3.68279569892473
1967-11,3.57608695652174
1967-12,3.73578947368421
1968-01,3.64193548387097
1968-02,3.73578947368421
1968-03,3.82
1968-04,3.68913043478261
1968-05,3.63186813186813
1968-06,3.89368421052632
1968-07,3.86288659793815
1968-08,3.74731182795699
1968-09,3.55227272727273
1968-10,3.61011235955056
1968-11,3.68651685393258
1968-12,3.66888888888889
1969-01,3.55227272727273
1969-02,3.53820224719101
1969-03,3.49540229885057
1969-04,3.55227272727273
1969-05,3.59555555555556
1969-06,3.61956521739131
1969-07,3.57555555555556
1969-08,3.7043956043956
1969-09,3.72391304347826
1969-10,3.89368421052632
1969-11,3.78131868131868
1969-12,3.7043956043956
1970-01,3.86
1970-02,4.20196078431373
1970-03,4.47169811320755
1970-04,4.62142857142857
1970-05,4.94786324786325
1970-06,5.15950413223141
1970-07,5.34920634920635
1970-08,5.21451612903226
1970-09,5.26377952755905
1970-10,5.3078125
1970-11,5.54210526315789
1970-12,5.71037037037037
1971-01,5.64090909090909
1971-02,5.66716417910448
1971-03,5.66268656716418
1971-04,5.82554744525547
1971-05,5.56515151515152
1971-06,5.56515151515152
1971-07,5.61278195488722
1971-08,5.58955223880597
1971-09,5.66268656716418
1971-10,5.59850746268657
1971-11,5.63925925925926
1971-12,5.47142857142857
1972-01,5.42424242424242
1972-02,5.27829457364341
1972-03,5.47443609022556
1972-04,5.27829457364341
1972-05,5.42878787878788
1972-06,5.53283582089552
1972-07,5.48947368421053
1972-08,5.54328358208955
1972-09,5.48208955223881
1972-10,5.65294117647059
1972-11,5.4206106870229
1972-12,5.38153846153846
1973-01,5.11463414634146
1973-02,5.06198347107438
1973-03,4.85555555555556
1973-04,4.82542372881356
1973-05,4.66034482758621
1973-06,4.71196581196581
1973-07,4.63333333333333
1973-08,4.65221238938053
1973-09,4.79401709401709
1973-10,4.81228070175439
1973-11,4.75913043478261
1973-12,4.77017543859649
1974-01,4.78793103448276
1974-02,4.76666666666667
1974-03,4.7017094017094
1974-04,4.71896551724138
1974-05,4.81864406779661
1974-06,4.77350427350427
1974-07,4.86974789915966
1974-08,4.9260162601626
1974-09,5.19133858267717
1974-10,5.20923076923077
1974-11,5.63284671532847
1974-12,6.08926174496644
1975-01,6.95269461077844
1975-02,6.81272727272727
1975-03,7.1035294117647
1975-04,7.18888888888889
1975-05,7.48539325842697
1975-06,7.36818181818182
1975-07,7.21445086705202
1975-08,7.15977011494253
1975-09,7.06184971098266
1975-10,7.16440677966102
1975-11,7.11022727272727
1975-12,6.97398843930636
1976-01,6.85555555555555
1976-02,6.72395209580838
1976-03,6.54294478527607
1976-04,6.62289156626506
1976-05,6.5109756097561
1976-06,6.62848484848485
1976-07,6.95348837209302
1976-08,6.81952662721894
1976-09,6.6722891566265
1976-10,6.90350877192982
1976-11,6.95348837209302
1976-12,7.03684210526316
1977-01,6.91882352941176
1977-02,7.09542857142857
1977-03,6.95348837209302
1977-04,6.93294117647059
1977-05,6.7603550295858
1977-06,6.84736842105263
1977-07,6.87894736842105
1977-08,6.9906976744186
1977-09,6.96666666666667
1977-10,7.04152046783626
1977-11,7.08034682080925
1977-12,6.91882352941176
1978-01,6.80119047619048
1978-02,6.75119047619048
1978-03,6.86941176470588
1978-04,6.74311377245509
1978-05,6.81952662721894
