EventCode,NumMentions,Actor1Code,Actor1Name,Actor2Code,Actor2Name,NumArticles,DATEADDED
071,10,MED,WRITER,,,10,20230524060000
042,10,MED,JOURNALIST,BUS,BUSINESS,10,20230524060000
051,10,MNCKOR,SAMSUNG,,,10,20230524060000
120,10,MNCUSA,NUVEEN,,,10,20230524060000
051,5,MNCUSA,DISNEY,AFR,AFRICA,5,20230524060000
070,10,dayCVL,DAYAK,,,10,20230524060000
073,10,dayCVL,DAYAK,,,10,20230524060000
057,10,,,ESP,ANDALUSIA,10,20230524053000
043,10,BUS,BANK,IDN,ACEH,10,20230524053000
042,10,BUSCOP,CORPORATION,UAF,ARMED MEN,10,20230524053000
0833,10,COP,DEPUTIES,,,10,20230524053000
090,10,COP,POLICE,UKR,KHARKIV,10,20230524053000
057,10,ESP,ANDALUSIA,,,10,20230524053000
090,10,ESP,CADIZ,GOV,MAYOR,10,20230524053000
016,10,GOV,EMPRESS,COP,POLICE,10,20230524053000
042,10,IDN,ACEH,BUS,BANK,10,20230524053000
051,10,IDN,ACEH,BUS,BANK,10,20230524053000
110,10,IDN,ACEH,BUS,BANK,10,20230524053000
020,10,IDN,RIAU,GOV,MINISTRY,10,20230524053000
125,10,IDN,RIAU,GOV,MINISTRY,10,20230524053000
036,20,LAB,UNIONS,LEGGOV,REPRESENTATIVES,20,20230524053000
020,10,LEG,PARLIAMENT,JUD,SUPREME COURT,10,20230524053000
186,10,MED,JOURNALIST,,,10,20230524053000
164,10,MIL,CARRIER,,,10,20230524053000
191,10,REB,UPRISING,,,10,20230524053000
080,10,REL,MONK,,,10,20230524053000
191,10,REL,SAINT,,,10,20230524053000
043,10,UAF,ARMED MEN,BUSCOP,CORPORATION,10,20230524053000
084,10,USAEDU,FLORIDA,,,10,20230524053000
1124,10,,,COP,POLICE,10,20230524061500
025,20,,,GOV,GOVERNMENT,20,20230524061500
190,10,,,MIL,COMMANDER,10,20230524061500
190,10,,,OPP,ACTIVIST,10,20230524061500
043,5,,,SWE,LUND,5,20230524061500
043,5,,,USACVL,ROCHESTER,5,20230524061500
071,5,ABR010,FREEMASON,,,5,20230524061500
070,5,BUS,BUSINESS,CVL,COMMUNITY,5,20230524061500
112,40,COP,POLICE,BUS,COMPANIES,40,20230524061500
173,5,COP,POLICE,COPMIL,POLICE,5,20230524061500
090,20,COP,POLICE,CRM,THIEF,20,20230524061500
190,10,COP,POLICE,CRM,THIEF,10,20230524061500
112,10,COP,POLICE,CVL,VILLAGE,10,20230524061500
180,5,COP,PRISON,JUD,JUDGE,5,20230524061500
025,10,CRM,GANG,COP,PRISON,10,20230524061500
