Date,Action,Forecast,Actual,Return (%),Budget,LongOnly
2017-07-17,,2333.9827,2459.5,,,11754.781727635087
2017-07-24,,2338.159,2472.04,,,11814.714625730043
2017-07-31,Buy,2337.4456,2475.94,-0.02037206071229515,9082.201184479349,11833.354043797854
2017-08-07,,2337.55,2477.14,,,11839.08924935718
2017-08-14,,2353.501,2454.96,,,11733.083533268971
2017-08-21,,2339.464,2425.5,,,11592.28423678752
2017-08-28,Sell,2346.21,2447.35,0.022538664269516135,8877.500501154167,11696.712771346913
2017-09-04,,2330.9307,2474.42,,,11826.089450089374
2017-09-11,,2333.372,2474.52,,,11826.567383885984
2017-09-18,,2325.2012,2502.51,,,11960.341053557262
2017-09-25,Sell,2331.608,2499.39,0.022477484506219635,8677.956621185516,11945.429519103012
2017-10-02,,2317.8748,2521.2,,,12049.66688014376
2017-10-09,,2314.8926,2551.39,,,12193.95509334047
2017-10-16,,2308.5269,2555.57,,,12213.932726038789
2017-10-23,Buy,2314.4302,2578.08,-0.0006012226152794821,8672.739237410446,12321.51562365581
2017-10-30,,2337.7085,2577.75,,,12319.938442126997
2017-11-06,,2339.0532,2587.47,,,12366.393607157535
2017-11-13,,2328.9631,2576.53,,,12314.10764980835
2017-11-20,Sell,2322.8474,2579.49,0.028183865802930145,8428.307918599463,12328.254490188017
2017-11-27,,2323.787,2602.66,,,12438.99175086267
2017-12-04,,2316.7268,2657.19,,,12699.609050154373
2017-12-11,,2316.5872,2652.19,,,12675.712360323849
2017-12-18,Buy,2312.0098,2685.92,0.02112870078036576,8606.38711469634,12836.919429920568
2017-12-25,,2314.2024,2684.22,,,12828.794555378188
2018-01-01,,2317.1968,2689.15,,,12852.356691551087
2018-01-08,,2483.1233,2742.67,,,13108.146859497023
2018-01-15,Buy,2228.5898,2770.18,-0.01051195229190879,8515.917183940952,13239.626446944569
2018-01-22,,2302.9304,2809.16,,,13425.925040863338
2018-01-29,,2298.1616,2867.23,,,13703.461196555054
2018-02-05,,2475.8018,2741.06,,,13100.452125371594
2018-02-12,Buy,2261.1711,2636.75,0.016804778610031268,8659.02528687844,12601.919382127187
2018-02-19,,2338.8337,2727.14,,,13033.923740883412
2018-02-26,,2300.1436,2757.37,,,13178.403127598764
2018-03-05,,2292.3105,2681.06,,,12813.691847405296
2018-03-12,Sell,2322.1096,2790.54,-0.056293763930995486,9146.474412250494,13336.933767934466
2018-03-19,,2327.1187,2741.38,,,13101.981513520748
2018-03-26,,2325.8616,2619.35,,,12518.758901516961
2018-04-02,,2312.02,2633.45,,,12586.147566839041
2018-04-09,Sell,2299.6868,2617.18,0.022111585752604083,8944.231358950019,12508.387738130514
2018-04-16,,2283.91,2670.1,,,12761.310303296787
2018-04-23,,2283.0554,2675.4,,,12786.640794517143
2018-04-30,,2261.2092,2675.05,,,12784.968026229008
2018-05-07,Sell,2266.1504,2669.36,0.02031947732789874,8762.489252636353,12757.77359320187
2018-05-14,,2258.6877,2733.37,,,13063.699016412245
2018-05-21,,2243.1204,2725.95,,,13028.236328703746
2018-05-28,,2231.8127,2723.6,,,13017.0048844834
2018-06-04,Sell,2711.2234,2741.67,0.0004632213213114568,8758.430280786768,13103.367521530918
2018-06-11,,2700.5212,2780.18,,,13287.419826605617
2018-06-18,,2701.82,2765.79,,,13218.645153273368
2018-06-25,,2704.3535,2742.94,,,13109.43728074787
2018-07-02,Sell,2692.5981,2704.95,0.034832436828776965,8453.352811312016,12927.870231415543
2018-07-09,,2685.9211,2768.51,,,13231.644952541175
2018-07-16,,2674.662,2801.43,,,13388.980758385347
2018-07-23,,2668.1091,2799.17,,,13378.179454581952
2018-07-30,Sell,2678.7007,2819.0,0.01239091876551963,8348.608003330772,13472.953726449812
2018-08-06,,2672.8687,2840.29,,,13574.705831748186
2018-08-13,,2657.7185,2835.46,,,13551.621629371899
2018-08-20,,2653.1973,2853.93,,,13639.896001605857
2018-08-27,Buy,2652.6143,2884.69,0.006635028373932684,8404.001254315714,13786.908437443246
2018-09-03,,2660.2385,2898.37,,,13852.28978081956
2018-09-10,,2648.3232,2881.39,,,13771.136622155098
2018-09-17,,2653.2554,2903.83,,,13878.384966114494
2018-09-24,Sell,2651.0427,2921.83,-0.05407569913376206,8858.45349766385,13964.413049504383
2018-10-01,,2666.9768,2926.29,,,13985.72889683321
2018-10-08,,2660.6904,2877.53,,,13752.688377605935
