,published_at,topic_class
0,2021-09-29T17:09:39+0000,"[(5, 0.9356629)]"
1,2016-06-24T13:50:48-0400,"[(2, 0.7429015), (9, 0.25526503)]"
2,2014-03-25T13:29:45-0400,"[(0, 0.998439)]"
3,2009-04-22T19:49:03+0000,"[(4, 0.17564334), (6, 0.12966098), (9, 0.66967416)]"
4,2018-04-14T14:59:04+0000,
5,2017-03-07T23:07:14+0000,"[(1, 0.31691018), (3, 0.67181337)]"
6,2017-02-28T11:00:37-0500,"[(2, 0.8354877), (3, 0.15971331)]"
7,2020-12-17T06:08:38+0000,"[(2, 0.83368665), (4, 0.121803515)]"
8,2019-07-28T21:00:47+0000,"[(5, 0.99120474)]"
9,2012-04-05T06:53:57+0000,"[(2, 0.9689259)]"
10,2010-11-30T15:42:50+0000,"[(9, 0.9437011)]"
11,2019-02-11T10:04:30+0000,"[(1, 0.98614454)]"
12,2019-01-30T20:32:22+0000,"[(4, 0.9878232)]"
13,2021-06-03T10:44:44+0000,"[(6, 0.99209714)]"
14,2007-04-30T06:55:55+0000,"[(0, 0.99370086)]"
15,2015-10-06T19:24:25+0000,"[(2, 0.34868577), (6, 0.377559), (9, 0.26263344)]"
16,2021-05-12T21:01:16+0000,"[(0, 0.612895), (7, 0.3815434)]"
17,2014-05-29T01:01:17+0000,"[(7, 0.9908092)]"
18,2014-05-12T15:38:19+0000,"[(2, 0.4323947), (4, 0.4769924), (6, 0.083604194)]"
19,2008-03-04T00:25:24+0000,
20,2015-03-19T19:43:07+0000,"[(4, 0.9863528)]"
21,2016-05-19T03:03:37+0000,"[(0, 0.54357034), (6, 0.44262424)]"
22,2016-12-17T15:07:56+0000,"[(5, 0.9891484)]"
23,2018-02-26T21:26:02+0000,"[(3, 0.113292), (6, 0.8760307)]"
24,2007-07-05T00:57:16+0000,"[(5, 0.3334503), (6, 0.44493684), (8, 0.20730728)]"
25,2018-02-28T14:30:29+0000,"[(6, 0.30935127), (8, 0.6864351)]"
26,2010-07-26T14:19:22+0000,"[(2, 0.5517158), (9, 0.43788442)]"
27,2012-01-25T20:27:04+0000,"[(1, 0.46808913), (2, 0.5141169)]"
28,2017-07-31T19:31:48+0000,"[(2, 0.8433767), (6, 0.13436766)]"
29,2012-04-16T16:44:20+0000,"[(2, 0.9699598)]"
30,2021-05-11T12:30:01+0000,"[(9, 0.9964531)]"
31,2020-03-18T16:17:43+0000,"[(3, 0.99133825)]"
32,2019-01-10T20:04:07+0000,"[(0, 0.9938726)]"
33,2019-03-03T17:00:13+0000,"[(1, 0.9780244), (7, 0.018706696)]"
34,2021-09-03T00:42:01+0000,"[(8, 0.9892783)]"
35,2007-09-12T04:25:04+0000,"[(2, 0.71206355), (7, 0.2822971)]"
36,2016-03-22T14:54:22+0000,"[(4, 0.47149673), (9, 0.52320004)]"
37,2007-03-16T06:24:33+0000,"[(2, 0.9960312)]"
38,2009-10-22T17:23:03+0000,"[(3, 0.53219444), (6, 0.45652017)]"
39,2012-01-18T22:09:31+0000,"[(0, 0.011121926), (1, 0.011120247), (2, 0.01112063), (3, 0.011120852), (4, 0.011121295), (5, 0.011120142), (6, 0.0111201685), (7, 0.011119659), (8, 0.011120852), (9, 0.8999142)]"
40,2021-02-05T17:30:52+0000,"[(6, 0.9967489)]"
41,2011-10-25T21:19:30+0000,"[(2, 0.48122048), (6, 0.5030674)]"
42,2013-02-26T09:32:17+0000,"[(0, 0.07127986), (6, 0.15517958), (7, 0.21504293), (9, 0.52512276)]"
43,2006-12-14T23:29:44+0000,"[(2, 0.97409755), (4, 0.023539951)]"
44,2012-10-08T09:04:00+0000,"[(9, 0.998216)]"
45,2009-02-09T22:23:28+0000,"[(2, 0.9901158)]"
46,2014-11-13T18:25:56+0000,"[(1, 0.99505144)]"
47,2010-01-04T20:19:07+0000,"[(6, 0.970936)]"
48,2010-07-08T18:10:10+0000,"[(2, 0.9898775)]"
49,2015-11-23T20:57:10+0000,"[(9, 0.9907137)]"
50,2008-08-29T15:25:24+0000,"[(3, 0.23755895), (9, 0.75655293)]"
51,2014-06-17T06:09:51-0400,"[(2, 0.9936079)]"
52,2017-08-30T20:20:38+0000,"[(1, 0.995157)]"
53,2012-08-30T18:05:09+0000,"[(4, 0.9734942)]"
54,2011-11-18T17:50:14+0000,"[(2, 0.4440913), (8, 0.38201985), (9, 0.16240197)]"
55,2016-02-05T15:27:47+0000,"[(2, 0.83032966), (6, 0.16450468)]"
56,2015-01-23T19:24:15+0000,"[(5, 0.99195766)]"
57,2013-02-13T12:55:50+0000,"[(0, 0.995519)]"
