,published_at,topic_class
0,2021-09-29T17:09:39+0000,"[(16, 0.92998636)]"
1,2016-06-24T13:50:48-0400,"[(33, 0.10735861), (43, 0.84458166), (45, 0.02738356)]"
2,2014-03-25T13:29:45-0400,"[(1, 0.03359422), (24, 0.21315789), (25, 0.04786704), (33, 0.07115848), (37, 0.25848094), (41, 0.06667811), (43, 0.2764897)]"
3,2009-04-22T19:49:03+0000,"[(6, 0.9649903)]"
4,2018-04-14T14:59:04+0000,
5,2017-03-07T23:07:14+0000,"[(18, 0.11500407), (33, 0.49257994), (46, 0.37917387)]"
6,2017-02-28T11:00:37-0500,"[(10, 0.9941309)]"
7,2020-12-17T06:08:38+0000,"[(26, 0.9455426)]"
8,2019-07-28T21:00:47+0000,"[(8, 0.1873125), (24, 0.320282), (45, 0.48734924)]"
9,2012-04-05T06:53:57+0000,"[(7, 0.9661977)]"
10,2010-11-30T15:42:50+0000,"[(11, 0.93873847)]"
11,2019-02-11T10:04:30+0000,"[(29, 0.98491925)]"
12,2019-01-30T20:32:22+0000,"[(1, 0.9867532)]"
13,2021-06-03T10:44:44+0000,"[(23, 0.9384872), (47, 0.053090315)]"
14,2007-04-30T06:55:55+0000,"[(17, 0.123525426), (43, 0.86975694)]"
15,2015-10-06T19:24:25+0000,"[(12, 0.98444134)]"
16,2021-05-12T21:01:16+0000,"[(1, 0.99319243)]"
17,2014-05-29T01:01:17+0000,"[(10, 0.9899984)]"
18,2014-05-12T15:38:19+0000,"[(11, 0.99019855)]"
19,2008-03-04T00:25:24+0000,
20,2015-03-19T19:43:07+0000,"[(35, 0.40515685), (39, 0.5802924)]"
21,2016-05-19T03:03:37+0000,"[(2, 0.6719551), (32, 0.3114881)]"
22,2016-12-17T15:07:56+0000,"[(35, 0.9881907)]"
23,2018-02-26T21:26:02+0000,"[(39, 0.9869301)]"
24,2007-07-05T00:57:16+0000,"[(13, 0.057659537), (21, 0.10820432), (32, 0.46575272), (47, 0.34959522)]"
25,2018-02-28T14:30:29+0000,"[(17, 0.9869236)]"
26,2010-07-26T14:19:22+0000,"[(26, 0.56306666), (35, 0.42446193)]"
27,2012-01-25T20:27:04+0000,"[(32, 0.14966543), (33, 0.828991)]"
28,2017-07-31T19:31:48+0000,"[(15, 0.4661665), (45, 0.50715905)]"
29,2012-04-16T16:44:20+0000,"[(43, 0.96731454)]"
30,2021-05-11T12:30:01+0000,"[(35, 0.9961411)]"
31,2020-03-18T16:17:43+0000,"[(33, 0.9905716)]"
32,2019-01-10T20:04:07+0000,"[(34, 0.9933323)]"
33,2019-03-03T17:00:13+0000,"[(16, 0.9959994)]"
34,2021-09-03T00:42:01+0000,"[(29, 0.98833066)]"
35,2007-09-12T04:25:04+0000,"[(25, 0.9956816)]"
36,2016-03-22T14:54:22+0000,"[(16, 0.33331987), (24, 0.66032046)]"
37,2007-03-16T06:24:33+0000,"[(25, 0.7512426), (30, 0.24452677)]"
38,2009-10-22T17:23:03+0000,"[(4, 0.9861946)]"
39,2012-01-18T22:09:31+0000,"[(3, 0.89108497)]"
40,2021-02-05T17:30:52+0000,"[(32, 0.5129886), (39, 0.48354453)]"
41,2011-10-25T21:19:30+0000,"[(41, 0.98078036)]"
42,2013-02-26T09:32:17+0000,"[(32, 0.15399925), (37, 0.79265493)]"
43,2006-12-14T23:29:44+0000,"[(20, 0.59000546), (24, 0.13160011), (29, 0.036880672), (32, 0.13902736), (43, 0.08790935)]"
44,2012-10-08T09:04:00+0000,"[(6, 0.078197435), (24, 0.88974047), (30, 0.018678483), (43, 0.01156008)]"
45,2009-02-09T22:23:28+0000,"[(39, 0.99035835)]"
46,2014-11-13T18:25:56+0000,"[(2, 0.9946143)]"
47,2010-01-04T20:19:07+0000,"[(28, 0.96838313)]"
48,2010-07-08T18:10:10+0000,"[(32, 0.16453934), (33, 0.82466817)]"
49,2015-11-23T20:57:10+0000,"[(44, 0.9898939)]"
50,2008-08-29T15:25:24+0000,"[(3, 0.99279284)]"
51,2014-06-17T06:09:51-0400,"[(35, 0.9930483)]"
52,2017-08-30T20:20:38+0000,"[(47, 0.99473)]"
53,2012-08-30T18:05:09+0000,"[(44, 0.97116417)]"
54,2011-11-18T17:50:14+0000,"[(21, 0.39410877), (30, 0.5901508)]"
55,2016-02-05T15:27:47+0000,"[(26, 0.99367577)]"
56,2015-01-23T19:24:15+0000,"[(38, 0.99124736)]"
57,2013-02-13T12:55:50+0000,"[(14, 0.99512327)]"
58,2011-11-28T15:05:41+0000,"[(9, 0.051810086), (41, 0.93571883)]"
59,2017-10-23T20:11:12+0000,"[(26, 0.98578936)]"
60,2020-09-29T15:55:01+0000,"[(25, 0.9970112)]"
61,2014-01-02T12:38:05+0000,"[(31, 0.9849208)]"
62,2019-01-11T18:29:51+0000,"[(37, 0.99019873)]"
63,2016-12-14T04:06:02+0000,"[(26, 0.9893452)]"
64,2013-05-31T17:12:25+0000,"[(27, 0.98978937)]"
65,2020-04-13T21:08:49+0000,"[(44, 0.9952416)]"
66,2021-02-22T13:30:41+0000,"[(27, 0.7947289), (29, 0.20051698)]"
67,2014-04-07T20:24:50+0000,"[(2, 0.9930482)]"
68,2012-11-01T19:27:00+0000,"[(32, 0.0542824), (39, 0.05194879), (43, 0.8726966)]"
69,2007-05-04T02:46:24+0000,"[(32, 0.9396631), (47, 0.05102954)]"
70,2019-06-09T20:35:14+0000,"[(49, 0.99620074)]"
71,2020-02-14T16:54:58+0000,"[(6, 0.99723107)]"
72,2009-07-28T16:50:50+0000,"[(15, 0.95098865)]"
73,2007-04-16T17:48:42+0000,"[(34, 0.987593)]"
74,2017-10-24T09:26:38+0000,"[(17, 0.26071733), (32, 0.3746132), (33, 0.35863817)]"
75,2016-07-08T09:29:58-0400,"[(24, 0.19164234), (25, 0.7008291), (26, 0.052698962), (38, 0.052451104)]"
76,2011-09-07T14:51:39+0000,"[(1, 0.94553995)]"
77,2020-12-23T16:13:36+0000,"[(1, 0.37128696), (15, 0.6194795)]"
78,2012-07-18T16:51:47+0000,"[(33, 0.40864754), (42, 0.5673473)]"
79,2009-08-17T18:49:35+0000,"[(43, 0.94231975)]"
80,2019-01-21T14:51:25+0000,"[(33, 0.43117806), (42, 0.51827645)]"
81,2007-07-18T18:09:35+0000,"[(1, 0.12084959), (18, 0.4398289), (25, 0.017435014), (29, 0.027092356), (33, 0.20798998), (44, 0.029826315), (45, 0.15447563)]"
82,2020-06-09T06:27:35+0000,"[(15, 0.6112905), (27, 0.33535832)]"
83,2020-06-29T23:01:54+0000,"[(8, 0.16090992), (26, 0.8348958)]"
84,2012-10-01T20:39:00+0000,
