,published_at,topic_class
0,2021-09-29T17:09:39+0000,"[(0, 0.014572063), (1, 0.014497606), (2, 0.9419147), (3, 0.014437027), (4, 0.014578602)]"
1,2016-06-24T13:50:48-0400,"[(0, 0.9981339)]"
2,2014-03-25T13:29:45-0400,"[(3, 0.9928192)]"
3,2009-04-22T19:49:03+0000,"[(1, 0.9707075)]"
4,2018-04-14T14:59:04+0000,
5,2017-03-07T23:07:14+0000,"[(4, 0.98848104)]"
6,2017-02-28T11:00:37-0500,"[(1, 0.9951006)]"
7,2020-12-17T06:08:38+0000,"[(0, 0.0113720875), (1, 0.011368861), (2, 0.52492523), (3, 0.011389878), (4, 0.44094393)]"
8,2019-07-28T21:00:47+0000,"[(4, 0.99561286)]"
9,2012-04-05T06:53:57+0000,"[(0, 0.50827235), (3, 0.47049302)]"
10,2010-11-30T15:42:50+0000,"[(0, 0.012733923), (1, 0.012799809), (2, 0.0157148), (3, 0.012702725), (4, 0.94604874)]"
11,2019-02-11T10:04:30+0000,"[(2, 0.9874095)]"
12,2019-01-30T20:32:22+0000,"[(0, 0.9888898)]"
13,2021-06-03T10:44:44+0000,"[(2, 0.99284804)]"
14,2007-04-30T06:55:55+0000,"[(0, 0.29491246), (3, 0.70078325)]"
15,2015-10-06T19:24:25+0000,"[(0, 0.6545543), (2, 0.33571622)]"
16,2021-05-12T21:01:16+0000,"[(4, 0.99430513)]"
17,2014-05-29T01:01:17+0000,"[(0, 0.4883342), (2, 0.50537837)]"
18,2014-05-12T15:38:19+0000,"[(2, 0.99180996)]"
19,2008-03-04T00:25:24+0000,
20,2015-03-19T19:43:07+0000,"[(0, 0.9282042), (2, 0.062468916)]"
21,2016-05-19T03:03:37+0000,"[(1, 0.38898188), (2, 0.17394687), (4, 0.4299974)]"
22,2016-12-17T15:07:56+0000,"[(1, 0.990133)]"
23,2018-02-26T21:26:02+0000,"[(1, 0.9891301)]"
24,2007-07-05T00:57:16+0000,"[(4, 0.9831512)]"
25,2018-02-28T14:30:29+0000,"[(1, 0.3064986), (2, 0.6902767)]"
26,2010-07-26T14:19:22+0000,"[(1, 0.3679791), (2, 0.6240022)]"
