,published_at,topic_class
0,2021-09-29T17:09:39+0000,"[(19, 0.9292813)]"
1,2016-06-24T13:50:48-0400,"[(15, 0.04028502), (29, 0.8868672), (47, 0.017222239), (53, 0.04838941)]"
2,2014-03-25T13:29:45-0400,"[(10, 0.012878197), (15, 0.01972161), (35, 0.0126827955), (37, 0.9290467), (49, 0.015753333)]"
3,2009-04-22T19:49:03+0000,"[(45, 0.964639)]"
4,2018-04-14T14:59:04+0000,
5,2017-03-07T23:07:14+0000,"[(9, 0.9860545)]"
6,2017-02-28T11:00:37-0500,"[(74, 0.9940713)]"
7,2020-12-17T06:08:38+0000,"[(15, 0.6470178), (22, 0.29852673)]"
8,2019-07-28T21:00:47+0000,"[(15, 0.34627852), (72, 0.64845157)]"
9,2012-04-05T06:53:57+0000,"[(9, 0.5459131), (66, 0.22056851), (68, 0.20006232)]"
10,2010-11-30T15:42:50+0000,"[(60, 0.9381193)]"
11,2019-02-11T10:04:30+0000,"[(54, 0.98476666)]"
12,2019-01-30T20:32:22+0000,"[(46, 0.079200745), (72, 0.9075533)]"
13,2021-06-03T10:44:44+0000,"[(86, 0.991315)]"
14,2007-04-30T06:55:55+0000,"[(0, 0.99307543)]"
15,2015-10-06T19:24:25+0000,"[(94, 0.9842837)]"
16,2021-05-12T21:01:16+0000,"[(67, 0.9931246)]"
17,2014-05-29T01:01:17+0000,"[(91, 0.98989606)]"
18,2014-05-12T15:38:19+0000,"[(42, 0.99009925)]"
19,2008-03-04T00:25:24+0000,
20,2015-03-19T19:43:07+0000,"[(40, 0.9849982)]"
21,2016-05-19T03:03:37+0000,"[(16, 0.2788198), (54, 0.34654418), (70, 0.3579061)]"
22,2016-12-17T15:07:56+0000,"[(72, 0.98807085)]"
23,2018-02-26T21:26:02+0000,"[(43, 0.98679936)]"
24,2007-07-05T00:57:16+0000,"[(0, 0.9797914)]"
25,2018-02-28T14:30:29+0000,"[(82, 0.9947887)]"
26,2010-07-26T14:19:22+0000,"[(15, 0.55906135), (37, 0.42820573)]"
27,2012-01-25T20:27:04+0000,"[(52, 0.116713256), (73, 0.8615059)]"
28,2017-07-31T19:31:48+0000,"[(42, 0.97249764)]"
29,2012-04-16T16:44:20+0000,"[(52, 0.04431257), (82, 0.92301464)]"
30,2021-05-11T12:30:01+0000,"[(33, 0.99610174)]"
31,2020-03-18T16:17:43+0000,"[(2, 0.9904797)]"
32,2019-01-10T20:04:07+0000,"[(44, 0.99326473)]"
33,2019-03-03T17:00:13+0000,"[(35, 0.9959587)]"
34,2021-09-03T00:42:01+0000,"[(99, 0.98821336)]"
35,2007-09-12T04:25:04+0000,"[(48, 0.9956383)]"
36,2016-03-22T14:54:22+0000,"[(22, 0.08055885), (50, 0.91295)]"
