,published_at,topic_class
0,2021-09-29T17:09:39+0000,"[(3, 0.9299752)]"
1,2016-06-24T13:50:48-0400,"[(22, 0.059278253), (25, 0.014842424), (27, 0.021843776), (41, 0.87697685)]"
2,2014-03-25T13:29:45-0400,"[(3, 0.052852605), (5, 0.013518754), (12, 0.017654717), (15, 0.3636238), (17, 0.039692167), (23, 0.05017277), (25, 0.010153018), (37, 0.09549574), (40, 0.015512255), (42, 0.26674038), (49, 0.06371511)]"
3,2009-04-22T19:49:03+0000,"[(15, 0.81049615), (35, 0.15520935)]"
4,2018-04-14T14:59:04+0000,
5,2017-03-07T23:07:14+0000,"[(16, 0.4913604), (17, 0.49511513)]"
6,2017-02-28T11:00:37-0500,"[(35, 0.98006433), (47, 0.014185757)]"
7,2020-12-17T06:08:38+0000,"[(2, 0.5776794), (25, 0.3689727)]"
8,2019-07-28T21:00:47+0000,"[(2, 0.6587475), (23, 0.14506054), (28, 0.19113514)]"
9,2012-04-05T06:53:57+0000,"[(48, 0.96619916)]"
10,2010-11-30T15:42:50+0000,"[(23, 0.644971), (38, 0.29500437)]"
11,2019-02-11T10:04:30+0000,"[(2, 0.37712526), (34, 0.6081025)]"
12,2019-01-30T20:32:22+0000,"[(5, 0.9867537)]"
13,2021-06-03T10:44:44+0000,"[(12, 0.9914021)]"
14,2007-04-30T06:55:55+0000,"[(23, 0.99314475)]"
15,2015-10-06T19:24:25+0000,"[(2, 0.40851915), (3, 0.57623565)]"
16,2021-05-12T21:01:16+0000,"[(21, 0.9931932)]"
17,2014-05-29T01:01:17+0000,"[(41, 0.98999774)]"
18,2014-05-12T15:38:19+0000,"[(1, 0.9901987)]"
19,2008-03-04T00:25:24+0000,
20,2015-03-19T19:43:07+0000,"[(22, 0.9851487)]"
21,2016-05-19T03:03:37+0000,"[(5, 0.41007563), (30, 0.19513835), (42, 0.37857407)]"
22,2016-12-17T15:07:56+0000,"[(34, 0.98819125)]"
23,2018-02-26T21:26:02+0000,"[(49, 0.98693043)]"
24,2007-07-05T00:57:16+0000,"[(44, 0.97999614)]"
25,2018-02-28T14:30:29+0000,"[(7, 0.9948413)]"
26,2010-07-26T14:19:22+0000,"[(7, 0.13101105), (15, 0.46122697), (28, 0.3955506)]"
27,2012-01-25T20:27:04+0000,"[(4, 0.4536987), (9, 0.2427757), (35, 0.28263202)]"
28,2017-07-31T19:31:48+0000,"[(23, 0.5813079), (38, 0.39201668)]"
29,2012-04-16T16:44:20+0000,"[(16, 0.05451204), (17, 0.63540995), (28, 0.27872974)]"
30,2021-05-11T12:30:01+0000,"[(28, 0.9260334), (36, 0.070184894)]"
31,2020-03-18T16:17:43+0000,"[(19, 0.99057573)]"
32,2019-01-10T20:04:07+0000,"[(40, 0.9933315)]"
33,2019-03-03T17:00:13+0000,"[(41, 0.9959991)]"
34,2021-09-03T00:42:01+0000,"[(7, 0.29892296), (32, 0.17115925), (33, 0.22536528), (42, 0.29359528)]"
35,2007-09-12T04:25:04+0000,"[(41, 0.995682)]"
36,2016-03-22T14:54:22+0000,"[(2, 0.18798888), (28, 0.09858203), (32, 0.6015095), (45, 0.10582428)]"
37,2007-03-16T06:24:33+0000,"[(17, 0.4030143), (36, 0.04228975), (42, 0.047991034), (46, 0.50265014)]"
38,2009-10-22T17:23:03+0000,"[(7, 0.40382996), (36, 0.582645)]"
39,2012-01-18T22:09:31+0000,"[(12, 0.89109224)]"
40,2021-02-05T17:30:52+0000,"[(30, 0.42548132), (35, 0.5710521)]"
41,2011-10-25T21:19:30+0000,"[(34, 0.9807808)]"
42,2013-02-26T09:32:17+0000,"[(15, 0.22868313), (30, 0.36136124), (39, 0.17746049), (40, 0.18136029)]"
