,published_at,topic_class
0,2021-09-29T17:09:39+0000,"[(85, 0.09109011), (251, 0.085626185), (258, 0.09108372), (318, 0.09108341), (415, 0.17979476), (438, 0.37149537)]"
1,2016-06-24T13:50:48-0400,"[(347, 0.016269196), (468, 0.9621953)]"
2,2014-03-25T13:29:45-0400,"[(29, 0.4802855), (76, 0.011855709), (135, 0.06630843), (276, 0.1495538), (298, 0.018003397), (299, 0.019745808), (321, 0.012715459), (326, 0.014905017), (373, 0.014222739), (374, 0.01820193), (390, 0.0137893455), (444, 0.013896694), (483, 0.04270176)]"
3,2009-04-22T19:49:03+0000,"[(43, 0.13489315), (161, 0.15617764), (237, 0.040733833), (246, 0.1131764), (305, 0.041826718), (331, 0.051399272), (382, 0.038536467), (387, 0.11795678), (420, 0.038528897), (431, 0.038122695), (470, 0.11183119), (492, 0.07927248)]"
4,2018-04-14T14:59:04+0000,
5,2017-03-07T23:07:14+0000,"[(24, 0.029419249), (216, 0.47234145), (324, 0.03775057), (326, 0.12585266), (344, 0.22137687), (481, 0.099341735)]"
6,2017-02-28T11:00:37-0500,"[(18, 0.9649351), (331, 0.029100053)]"
7,2020-12-17T06:08:38+0000,"[(22, 0.24023132), (66, 0.3119323), (120, 0.12913129), (250, 0.09834424), (432, 0.16212122)]"
8,2019-07-28T21:00:47+0000,"[(89, 0.98248094), (233, 0.012156469)]"
9,2012-04-05T06:53:57+0000,"[(10, 0.20679405), (16, 0.23190533), (166, 0.10068053), (188, 0.10649074), (299, 0.20429574), (330, 0.04073951), (485, 0.072568655)]"
10,2010-11-30T15:42:50+0000,"[(90, 0.124367766), (136, 0.2746916), (221, 0.010285642), (226, 0.1361892), (347, 0.13768841), (426, 0.15917797), (471, 0.08174422)]"
11,2019-02-11T10:04:30+0000,"[(50, 0.984645)]"
12,2019-01-30T20:32:22+0000,"[(192, 0.9865126)]"
13,2021-06-03T10:44:44+0000,"[(202, 0.9912452)]"
14,2007-04-30T06:55:55+0000,"[(135, 0.80231047), (215, 0.19072345)]"
15,2015-10-06T19:24:25+0000,"[(415, 0.9841576)]"
16,2021-05-12T21:01:16+0000,"[(351, 0.99306923)]"
17,2014-05-29T01:01:17+0000,"[(386, 0.98981607)]"
18,2014-05-12T15:38:19+0000,"[(312, 0.99001956)]"
19,2008-03-04T00:25:24+0000,
20,2015-03-19T19:43:07+0000,"[(97, 0.98487836)]"
21,2016-05-19T03:03:37+0000,"[(318, 0.98279285)]"
22,2016-12-17T15:07:56+0000,"[(264, 0.9879752)]"
23,2018-02-26T21:26:02+0000,"[(425, 0.9866931)]"
24,2007-07-05T00:57:16+0000,"[(316, 0.979632)]"
25,2018-02-28T14:30:29+0000,"[(155, 0.9947471)]"
26,2010-07-26T14:19:22+0000,"[(142, 0.05164772), (154, 0.08768896), (155, 0.06261727), (326, 0.60752547), (493, 0.17766039)]"
27,2012-01-25T20:27:04+0000,"[(450, 0.97782195)]"
28,2017-07-31T19:31:48+0000,"[(198, 0.6085419), (252, 0.036351606), (352, 0.13877076), (403, 0.04695245), (492, 0.13637811)]"
29,2012-04-16T16:44:20+0000,"[(15, 0.12965503), (50, 0.1047704), (58, 0.047516197), (140, 0.17366236), (155, 0.06457508), (183, 0.09139874), (227, 0.09079891), (300, 0.1137764), (411, 0.056760594), (441, 0.090772495)]"
30,2021-05-11T12:30:01+0000,"[(139, 0.99607056)]"
31,2020-03-18T16:17:43+0000,"[(378, 0.9904036)]"
32,2019-01-10T20:04:07+0000,"[(253, 0.9932107)]"
33,2019-03-03T17:00:13+0000,"[(174, 0.9959264)]"
34,2021-09-03T00:42:01+0000,"[(130, 0.9716774), (265, 0.016464919)]"
35,2007-09-12T04:25:04+0000,"[(466, 0.99558693)]"
36,2016-03-22T14:54:22+0000,"[(59, 0.99339044)]"
37,2007-03-16T06:24:33+0000,"[(390, 0.9956019)]"
38,2009-10-22T17:23:03+0000,"[(272, 0.98594075)]"
39,2012-01-18T22:09:31+0000,"[(159, 0.25024122), (200, 0.25025082), (461, 0.37525383)]"
40,2021-02-05T17:30:52+0000,"[(122, 0.7829003), (224, 0.21350378)]"
41,2011-10-25T21:19:30+0000,"[(37, 0.98043066)]"
42,2013-02-26T09:32:17+0000,"[(29, 0.06882218), (59, 0.15145057), (93, 0.19684696), (136, 0.20524059), (224, 0.17426874), (401, 0.06911518), (485, 0.06851675)]"
43,2006-12-14T23:29:44+0000,"[(48, 0.041589826), (72, 0.0625446), (224, 0.057636213), (299, 0.8119703)]"
44,2012-10-08T09:04:00+0000,"[(139, 0.020048114), (165, 0.015762774), (276, 0.9173805), (492, 0.014911681)]"
45,2009-02-09T22:23:28+0000,"[(3, 0.90881777), (76, 0.08351299)]"
46,2014-11-13T18:25:56+0000,"[(366, 0.9945163)]"
47,2010-01-04T20:19:07+0000,"[(1, 0.37752914), (90, 0.11317006), (121, 0.046628088), (126, 0.05032915), (155, 0.055439875), (202, 0.046147138), (235, 0.044168904), (255, 0.10125871), (297, 0.025574867), (300, 0.05366356), (459, 0.043563273)]"
48,2010-07-08T18:10:10+0000,"[(284, 0.98877275)]"
49,2015-11-23T20:57:10+0000,"[(270, 0.989711)]"
50,2008-08-29T15:25:24+0000,"[(227, 0.99266154)]"
51,2014-06-17T06:09:51-0400,"[(452, 0.99292165)]"
52,2017-08-30T20:20:38+0000,"[(403, 0.9946342)]"
53,2012-08-30T18:05:09+0000,"[(10, 0.12587437), (67, 0.041744288), (69, 0.041753832), (160, 0.10760488), (174, 0.054664508), (233, 0.041744675), (241, 0.084088326), (253, 0.04173143), (267, 0.07952158), (279, 0.09744379), (356, 0.09024799), (441, 0.07776195), (466, 0.07522582)]"
54,2011-11-18T17:50:14+0000,"[(333, 0.98363906)]"
55,2016-02-05T15:27:47+0000,"[(110, 0.99355376)]"
56,2015-01-23T19:24:15+0000,"[(358, 0.991089)]"
57,2013-02-13T12:55:50+0000,"[(153, 0.99503464)]"
58,2011-11-28T15:05:41+0000,"[(180, 0.9870387)]"
59,2017-10-23T20:11:12+0000,"[(168, 0.9855347)]"
60,2020-09-29T15:55:01+0000,"[(139, 0.030592639), (284, 0.9543305)]"
61,2014-01-02T12:38:05+0000,"[(72, 0.98463804)]"
62,2019-01-11T18:29:51+0000,"[(33, 0.95698935), (40, 0.022057258), (499, 0.011012722)]"
63,2016-12-14T04:06:02+0000,"[(203, 0.989152)]"
64,2013-05-31T17:12:25+0000,"[(497, 0.98960227)]"
65,2020-04-13T21:08:49+0000,"[(409, 0.99515516)]"
66,2021-02-22T13:30:41+0000,"[(361, 0.99505925)]"
67,2014-04-07T20:24:50+0000,"[(469, 0.99292177)]"
68,2012-11-01T19:27:00+0000,"[(332, 0.1441291), (470, 0.8537913)]"
69,2007-05-04T02:46:24+0000,"[(50, 0.025425598), (139, 0.029700361), (224, 0.045708515), (253, 0.0707232), (280, 0.7246269), (321, 0.036688272), (337, 0.053835798)]"
70,2019-06-09T20:35:14+0000,"[(288, 0.9961317)]"
71,2020-02-14T16:54:58+0000,"[(465, 0.9971807)]"
72,2009-07-28T16:50:50+0000,"[(166, 0.08251996), (252, 0.591666), (364, 0.067953624), (461, 0.05566598), (465, 0.1471873)]"
73,2007-04-16T17:48:42+0000,"[(114, 0.9873666)]"
74,2017-10-24T09:26:38+0000,"[(136, 0.9935956)]"
75,2016-07-08T09:29:58-0400,"[(48, 0.028430564), (168, 0.9689956)]"
76,2011-09-07T14:51:39+0000,"[(97, 0.086333044), (183, 0.07515539), (237, 0.06754687), (246, 0.18930086), (322, 0.15314431), (398, 0.09492496), (448, 0.20980483), (465, 0.065901555)]"
77,2020-12-23T16:13:36+0000,"[(29, 0.43997192), (82, 0.55044854)]"
78,2012-07-18T16:51:47+0000,"[(136, 0.20322995), (142, 0.09411509), (151, 0.24824005), (306, 0.033469014), (316, 0.1368385), (347, 0.19569936), (450, 0.062458217)]"
