,published_at,topic_class
0,2021-09-29T17:09:39+0000,"[(52, 0.92926514)]"
1,2016-06-24T13:50:48-0400,"[(22, 0.018313458), (39, 0.035434175), (59, 0.60295117), (71, 0.20293663), (92, 0.054097965), (97, 0.07775208)]"
2,2014-03-25T13:29:45-0400,"[(5, 0.44584432), (24, 0.06673717), (32, 0.04944621), (34, 0.029767815), (35, 0.08227842), (71, 0.13243923), (73, 0.052205116), (89, 0.01784766), (97, 0.11854552)]"
3,2009-04-22T19:49:03+0000,"[(37, 0.79598695), (99, 0.16900563)]"
4,2018-04-14T14:59:04+0000,
5,2017-03-07T23:07:14+0000,"[(54, 0.102048755), (71, 0.47456163), (72, 0.40972397)]"
6,2017-02-28T11:00:37-0500,"[(95, 0.9940711)]"
7,2020-12-17T06:08:38+0000,"[(12, 0.26149613), (35, 0.684048)]"
8,2019-07-28T21:00:47+0000,"[(80, 0.99467665)]"
9,2012-04-05T06:53:57+0000,"[(86, 0.96585774)]"
10,2010-11-30T15:42:50+0000,"[(28, 0.93811184)]"
11,2019-02-11T10:04:30+0000,"[(35, 0.98476464)]"
12,2019-01-30T20:32:22+0000,"[(59, 0.98661935)]"
13,2021-06-03T10:44:44+0000,"[(50, 0.9913147)]"
14,2007-04-30T06:55:55+0000,"[(4, 0.9788359), (54, 0.014310018)]"
15,2015-10-06T19:24:25+0000,"[(62, 0.98428327)]"
16,2021-05-12T21:01:16+0000,"[(98, 0.9931244)]"
17,2014-05-29T01:01:17+0000,"[(0, 0.98989725)]"
18,2014-05-12T15:38:19+0000,"[(60, 0.99009836)]"
19,2008-03-04T00:25:24+0000,
20,2015-03-19T19:43:07+0000,"[(46, 0.984999)]"
21,2016-05-19T03:03:37+0000,"[(32, 0.98292786)]"
22,2016-12-17T15:07:56+0000,"[(44, 0.9880705)]"
23,2018-02-26T21:26:02+0000,"[(16, 0.9867986)]"
24,2007-07-05T00:57:16+0000,"[(61, 0.9797938)]"
25,2018-02-28T14:30:29+0000,"[(35, 0.9947879)]"
26,2010-07-26T14:19:22+0000,"[(12, 0.14341961), (15, 0.053028673), (35, 0.027513042), (39, 0.44965062), (71, 0.31404606)]"
27,2012-01-25T20:27:04+0000,"[(59, 0.97799736)]"
28,2017-07-31T19:31:48+0000,"[(44, 0.9724959)]"
29,2012-04-16T16:44:20+0000,"[(54, 0.96699303)]"
30,2021-05-11T12:30:01+0000,"[(90, 0.9961017)]"
31,2020-03-18T16:17:43+0000,"[(47, 0.99047965)]"
32,2019-01-10T20:04:07+0000,"[(79, 0.9932644)]"
33,2019-03-03T17:00:13+0000,"[(10, 0.99595886)]"
34,2021-09-03T00:42:01+0000,"[(35, 0.1466163), (81, 0.8417138)]"
35,2007-09-12T04:25:04+0000,"[(35, 0.18646559), (39, 0.065729246), (54, 0.2075812), (56, 0.16256183), (71, 0.116888694), (92, 0.019209417), (96, 0.16280419), (99, 0.0747037)]"
36,2016-03-22T14:54:22+0000,"[(79, 0.9934428)]"
37,2007-03-16T06:24:33+0000,"[(9, 0.64830023), (35, 0.078538716), (52, 0.14299116), (53, 0.017444102), (54, 0.049877234), (55, 0.05870602)]"
38,2009-10-22T17:23:03+0000,"[(66, 0.9860556)]"
39,2012-01-18T22:09:31+0000,"[(8, 0.29447892), (77, 0.458033), (83, 0.12621896)]"
40,2021-02-05T17:30:52+0000,"[(7, 0.6177753), (99, 0.3786863)]"
41,2011-10-25T21:19:30+0000,"[(16, 0.98058516)]"
42,2013-02-26T09:32:17+0000,"[(47, 0.7169603), (99, 0.22858593)]"
43,2006-12-14T23:29:44+0000,"[(19, 0.07555439), (35, 0.10863793), (52, 0.19379522), (60, 0.3791904), (71, 0.13483305), (99, 0.08864653)]"
44,2012-10-08T09:04:00+0000,"[(24, 0.82612723), (35, 0.078261785), (71, 0.05441838), (97, 0.039290965)]"
45,2009-02-09T22:23:28+0000,"[(12, 0.9963995)]"
46,2014-11-13T18:25:56+0000,"[(93, 0.99456006)]"
47,2010-01-04T20:19:07+0000,"[(85, 0.96806204)]"
48,2010-07-08T18:10:10+0000,"[(53, 0.988875)]"
49,2015-11-23T20:57:10+0000,"[(75, 0.9897922)]"
50,2008-08-29T15:25:24+0000,"[(62, 0.9927193)]"
51,2014-06-17T06:09:51-0400,"[(28, 0.9929775)]"
52,2017-08-30T20:20:38+0000,"[(77, 0.99467653)]"
53,2012-08-30T18:05:09+0000,"[(52, 0.97087145)]"
54,2011-11-18T17:50:14+0000,"[(9, 0.10985864), (35, 0.3644924), (41, 0.1718062), (54, 0.08356783), (75, 0.06573634), (81, 0.18912314)]"
55,2016-02-05T15:27:47+0000,"[(12, 0.993612)]"
56,2015-01-23T19:24:15+0000,"[(55, 0.99115926)]"
57,2013-02-13T12:55:50+0000,"[(53, 0.99507403)]"
58,2011-11-28T15:05:41+0000,"[(90, 0.98714036)]"
59,2017-10-23T20:11:12+0000,"[(22, 0.9856507)]"
60,2020-09-29T15:55:01+0000,"[(19, 0.056245983), (55, 0.8240061), (72, 0.080112815), (97, 0.01451743), (99, 0.022220211)]"
61,2014-01-02T12:38:05+0000,"[(67, 0.9847675)]"
62,2019-01-11T18:29:51+0000,"[(72, 0.99009824)]"
63,2016-12-14T04:06:02+0000,"[(54, 0.9892377)]"
64,2013-05-31T17:12:25+0000,"[(52, 0.9896855)]"
65,2020-04-13T21:08:49+0000,"[(68, 0.9951934)]"
66,2021-02-22T13:30:41+0000,"[(4, 0.13001049), (19, 0.03958841), (32, 0.14494427), (72, 0.20245828), (75, 0.47829375)]"
67,2014-04-07T20:24:50+0000,"[(18, 0.9929774)]"
68,2012-11-01T19:27:00+0000,"[(8, 0.8994461), (52, 0.098507404)]"
69,2007-05-04T02:46:24+0000,"[(29, 0.99605536)]"
70,2019-06-09T20:35:14+0000,"[(28, 0.107978076), (33, 0.88822263)]"
71,2020-02-14T16:54:58+0000,"[(32, 0.017783819), (81, 0.97944677)]"
72,2009-07-28T16:50:50+0000,"[(56, 0.9504928)]"
73,2007-04-16T17:48:42+0000,"[(85, 0.98746747)]"
74,2017-10-24T09:26:38+0000,"[(80, 0.7107296), (99, 0.28298745)]"
75,2016-07-08T09:29:58-0400,"[(39, 0.8018698), (54, 0.1916364)]"
76,2011-09-07T14:51:39+0000,"[(95, 0.94499284)]"
77,2020-12-23T16:13:36+0000,"[(51, 0.9230801), (62, 0.06749489)]"
78,2012-07-18T16:51:47+0000,"[(50, 0.9752475)]"
79,2009-08-17T18:49:35+0000,"[(28, 0.9417539)]"
80,2019-01-21T14:51:25+0000,"[(20, 0.94788414)]"
81,2007-07-18T18:09:35+0000,"[(59, 0.014320969), (64, 0.030589167), (71, 0.94081426)]"
82,2020-06-09T06:27:35+0000,"[(35, 0.31028405), (39, 0.35833073), (54, 0.27748504)]"
83,2020-06-29T23:01:54+0000,"[(55, 0.9956761)]"
